Marka Kodu	Tip Kodu	Marka Adı	Tip Adı	2019	2018	2017	2016	2015	2014	2013	2012
114	1099	PEUGEOT	2008 ACTIVE 1.6 e-HDI 92 S&S ETG6	0	932008	879265	829483	782531	718107	0	0
114	1081	PEUGEOT	2008 ALLURE 1.2 e-VTI 82 ETG5	0	0	0	0	765927	702855	0	0
114	2036	PEUGEOT	2008 ALLURE 1.2 PURETECH 110 EAT6 S&S	0	958219	903977	852812	0	0	0	0
114	1100	PEUGEOT	2008 ALLURE 1.2 PURETECH 82 S&S ETG5	0	0	0	819991	773593	709896	0	0
114	2105	PEUGEOT	2008 ALLURE 1.6 BLUEHDI 100	0	1026776	0	0	0	0	0	0
114	2057	PEUGEOT	2008 ALLURE 1.6 BLUEHDI 100 ETG6 S&S	0	1022378	1000263	992709	0	0	0	0
114	1101	PEUGEOT	2008 ALLURE 1.6 E-HDI 92 S&S ETG6	0	0	996115	982870	927247	850895	0	0
114	1150	PEUGEOT	2008 CLASSIC EDITION 1.6 e-HDI 92	0	0	0	883023	0	0	0	0
114	2037	PEUGEOT	2008 GT-LINE 1.2 PURETECH 110 EAT6	0	1006126	949182	895453	0	0	0	0
114	2038	PEUGEOT	2008 GT-LINE 1.6 E-HDI 92 ETG6	0	0	0	1032007	0	0	0	0
114	2071	PEUGEOT	2008 TECHNO EDITION 1.6 BLUEHDI 100 ETG6 S6S	0	0	843644	0	0	0	0	0
114	2070	PEUGEOT	2008 TECHNO EDITION 1.6 E-HDI 92 S&S	0	0	776143	0	0	0	0	0
114	1088	PEUGEOT	208 ACCESS 1.0 PURETECH 68	0	0	0	0	430890	391717	0	0
114	1089	PEUGEOT	208 ACCESS 1.2 PURETECH 82	0	0	0	0	453206	411996	0	0
114	1090	PEUGEOT	208 ACCESS 1.2 PURETECH 82 ETG5	0	0	0	0	593602	579354	0	0
114	1127	PEUGEOT	208 ACCESS 1.2 PURETECH 82 ETG5 FL	0	0	0	570128	562114	0	0	0
114	1143	PEUGEOT	208 ACCESS 1.2 PURETECH 82 ETG5 S&S FL	0	648465	606042	566388	0	0	0	0
114	1126	PEUGEOT	208 ACCESS 1.2 PURETECH 82 FL	0	582936	544814	526668	522918	0	0	0
114	1131	PEUGEOT	208 ACCESS 1.4 HDI 68 FL	0	0	0	531222	494047	0	0	0
114	1148	PEUGEOT	208 ACCESS 1.6 HDI 92	0	690652	611201	571219	0	0	0	0
114	1091	PEUGEOT	208 ACTIVE 1.2 PURETECH 82	0	0	0	0	489446	444960	0	0
114	1092	PEUGEOT	208 ACTIVE 1.2 PURETECH 82 ETG5	0	0	0	0	542796	529774	0	0
114	1128	PEUGEOT	208 ACTIVE 1.2 PURETECH 82 ETG5 FL	0	0	0	633701	555037	0	0	0
114	1144	PEUGEOT	208 ACTIVE 1.2 PURETECH 82 ETG5 S&S FL	0	736057	684348	633701	0	0	0	0
114	1132	PEUGEOT	208 ACTIVE 1.4 HDI 68 FL	0	0	0	577402	537001	0	0	0
114	2110	PEUGEOT	208 ACTIVE 1.6 BLUEHDI 100 E6	0	776273	0	0	0	0	0	0
114	2055	PEUGEOT	208 ACTIVE 1.6 BLUEHDI 100 ETG6 S&S	0	843776	753374	664679	0	0	0	0
114	1147	PEUGEOT	208 ACTIVE 1.6 E-HDI 92 ETG6 S&S	0	0	0	686898	616911	0	0	0
114	1149	PEUGEOT	208 ACTIVE 1.6 HDI 92	0	710851	664345	602851	0	0	0	0
114	1133	PEUGEOT	208 ACTIVE 1.6 HDI 92 ETG6 FL	0	0	0	659492	557767	0	0	0
114	2052	PEUGEOT	208 ACTIVE SKYPACK 1.2 PURETECH 110 EAT6 S&S	0	0	0	679706	0	0	0	0
114	1146	PEUGEOT	208 ALLURE 1.2 PURETECH 110 EAT6 S&S FL	0	800429	748063	742499	0	0	0	0
114	1093	PEUGEOT	208 ALLURE 1.2 PURETECH 82 ETG5	0	0	0	0	570911	518985	0	0
114	1129	PEUGEOT	208 ALLURE 1.2 PURETECH 82 ETG5 FL	0	0	0	705867	590088	0	0	0
114	1094	PEUGEOT	208 ALLURE 1.6 HDI 92 S&S ETG6	0	0	0	0	668433	602039	0	0
114	1130	PEUGEOT	208 GT LINE 1.2 PURETECH 110 EAT6 FL	0	793030	734280	679892	625507	0	0	0
114	1134	PEUGEOT	208 GTI 1.6 THP 208 FL	0	0	0	889949	818767	0	0	0
114	2068	PEUGEOT	208 TECHNO EDITION 1.2 PURETECH 82	0	0	560011	0	0	0	0	0
114	2069	PEUGEOT	208 TECHNO EDITION 1.2 PURETECH 82 ETG5 S6S	0	0	604814	0	0	0	0	0
21	1163	BMW	218i ACTIVE TOURER 1.5 (136) JOY	0	0	0	1113116	0	0	0	0
114	2042	PEUGEOT	3008 ACCESS 1.2 PURETECH 130	0	1028193	960930	898063	0	0	0	0
114	2043	PEUGEOT	3008 ACCESS 1.2 PURETECH 130 EAT6	0	1117602	1044493	976157	0	0	0	0
114	2044	PEUGEOT	3008 ACTIVE 1.2 PURETCH 130	0	1105588	1033250	965668	0	0	0	0
114	1106	PEUGEOT	3008 ALLURE 1.6 E-HDI 115 ETG6	0	0	0	0	956402	832882	0	0
114	1082	PEUGEOT	3008 ALLURE 1.6 e-HDI 115 S&S	0	0	0	0	842884	766243	0	0
114	1122	PEUGEOT	3008 FELINE 1.6 BLUEHDI 120 EAT6	0	0	0	1083500	1012614	0	0	0
114	1083	PEUGEOT	3008 FELINE 1.6 e-HDI 115 ETG6	0	0	0	0	964398	876717	0	0
114	1104	PEUGEOT	308 ACCESS 1.2 PURETECH 82	0	0	763242	706708	654360	589373	0	0
114	1073	PEUGEOT	308 ACCESS 1.2 VTI 82	0	0	0	0	617323	555987	0	0
114	2089	PEUGEOT	308 ACCESS 1.6 BLUEHDI 100 S&S	0	840548	778288	0	0	0	0	0
114	2092	PEUGEOT	308 ACTIVE 1.2 PURETECH 110 S&S	0	864056	800056	0	0	0	0	0
114	1111	PEUGEOT	308 ACTIVE 1.2 PURETECH 130	0	0	824297	763242	706708	636512	0	0
114	1112	PEUGEOT	308 ACTIVE 1.2 PURETECH 130 EAT6	0	0	927111	876629	854663	775136	0	0
114	2087	PEUGEOT	308 ACTIVE 1.2 PURETECH 130 EAT6 S&S	0	1016306	932368	0	0	0	0	0
114	1105	PEUGEOT	308 ACTIVE 1.2 PURETECH 82	0	0	829613	768151	711254	640601	0	0
114	2090	PEUGEOT	308 ACTIVE 1.6 BLUEHDI 100 S&S	0	913100	845452	0	0	0	0	0
114	1116	PEUGEOT	308 ACTIVE 1.6 BLUEHDI 120 EAT6	0	958204	940927	884761	864425	0	0	0
114	1075	PEUGEOT	308 ACTIVE 1.6 e-HDI S&S 115	0	0	835442	773556	716255	605071	0	0
114	1113	PEUGEOT	308 ALLURE 1.2 PURETECH 130	0	0	906727	839565	777392	700173	0	0
114	1114	PEUGEOT	308 ALLURE 1.2 PURETECH 130 EAT6	0	1064430	985576	912563	821317	761044	0	0
114	1117	PEUGEOT	308 ALLURE 1.6 BLUEHDI 120 EAT6	0	1111595	1029264	953007	837357	0	0	0
114	2040	PEUGEOT	308 CLASSIC EDITION 1.6 E-HDI 115 S&S	0	0	0	767824	0	0	0	0
114	2039	PEUGEOT	308 CLASSIC EDITION 1.6 HDI	0	0	0	744807	0	0	0	0
114	2041	PEUGEOT	308 CLASSIC EDITION PLUS 1.6 E-HDI 115 S&S	0	0	0	752380	0	0	0	0
114	1151	PEUGEOT	308 STYLE 1.6 BLUEHDI 120 EAT6 S&S	0	0	988085	935903	0	0	0	0
114	2073	PEUGEOT	308 TECHNO EDITION 1.2 PURETECH 130 EAT6 S&S	0	0	920508	0	0	0	0	0
114	2072	PEUGEOT	308 TECHNO EDITION 1.2 PURETECH 130 S&S	0	0	852342	0	0	0	0	0
114	2075	PEUGEOT	308 TECHNO EDITION 1.6 BLUE HDI 120 EAT6 S&S	0	0	968071	0	0	0	0	0
114	2074	PEUGEOT	308 TECHNO EDITION 1.6 E-HDI 115 S&S	0	0	890645	0	0	0	0	0
